"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"March","2015/16","October-September","Soybean oil","Total supply","Total supply","4241458.21763","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1683407.94755","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","464480","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Exports","Exports","233124.27009","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1916532.21763","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2324926","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2324926","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Production","Production","1840263","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Imports","Imports","28726.57299","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Total supply","Total supply","4193915.57299","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1648122.49016","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","414750","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Exports","Exports","125775.08283","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1773897.57299","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2420018","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2420018","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Production","Production","1876184","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Imports","Imports","33131.82001","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Total supply","Total supply","4329333.82001","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1759376.88294","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","543780","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Exports","Exports","103818.93707","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1863195.82001","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2466138","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2466138","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Production","Production","1787234","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Imports","Imports","16311.30372","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Total supply","Total supply","4269683.30372","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1687023.93497","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","519690","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Exports","Exports","158525.36875","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1845549.30372","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2424134","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2424134","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Production","Production","1789356","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Imports","Imports","16901.6089","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Total supply","Total supply","4230391.6089","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1737098.68124","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","535600","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Exports","Exports","279014.92766","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","2016113.6089","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2214278","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2214278","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Production","Production","1642478","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Imports","Imports","25199.42691","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Total supply","Total supply","3881955.42691","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1796842.24949","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","561040","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Exports","Exports","99370.17743","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1896212.42691","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","1985743","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","1985743","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Production","Production","1616609","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Imports","Imports","20299.47374","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Total supply","Total supply","3622651.47374","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1707930.18057","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","536840","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Exports","Exports","227908.29317","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1935838.47374","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
